period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
2082,2.4538665201844427,0,0,38,0.0,0.0,1.0,38,750.0,8,7,1,350.57812342078205,0.7609939166490118,0.028413920175933693,0.19660350113306002,79531.4527183456,-2023.6025106147652,77507.85020773082,2054,16,978.2631578947369,36,2,10,36.473923855977496,0.6167257683215133,45.39965497412304,624.7552626864053,17.35431285240015,0
2083,2.733254237221266,1,0,39,0.02564102564102564,0.0,1.0,39,550.0,7,4,3,343.90756929724375,0.7682545151750079,0.03894732395556133,0.19436861691194265,88794.69794119883,-1692.5662529118872,87102.13168828694,2055,0,954.1538461538462,37,2,12,36.33460689123346,0.6178838412880968,45.100783874580046,696.704362539181,18.82984763619408,0
2084,2.9605835798416997,0,0,39,0.0,0.0,1.0,39,1000.0,12,8,4,341.21834074508376,0.76641686048181,0.04395202265440501,0.1934136817577448,96264.42789928352,-1230.56232788637,95033.86557139715,2056,1,955.1538461538462,37,2,12,36.2873519993086,0.619033927544566,44.9888017917133,754.9819660912079,20.40491800246508,0
2085,2.867381373433229,0,0,39,0.0,0.0,1.0,39,600.0,7,5,2,342.7762916372777,0.7668188474459471,0.04324442981012,0.19458160704717944,93274.8709627954,-1405.5171256854956,91869.3538371099,2057,2,956.1538461538462,37,2,12,36.18971222534369,0.6196089706728005,44.93281075027994,731.374907428614,19.766889389962543,0
2086,3.2934755656263865,0,0,39,0.0,0.0,1.0,39,750.0,10,5,5,341.91104999270715,0.7653831797168863,0.04400105782594266,0.19451793443405285,107206.1248920201,-469.00825450403937,106737.11663751607,2058,3,957.1538461538462,37,2,13,36.12492354525885,0.6204715353651525,44.84882418812988,840.3341630772345,22.711734137222553,0
2087,2.9582367052827268,0,0,39,0.0,0.0,1.0,39,700.0,10,4,6,340.9750765487004,0.764808912625262,0.04237321499879099,0.19455636720719915,96378.28656511458,-1227.481272165515,95150.80529294907,2059,4,958.1538461538462,37,2,13,36.03300462494108,0.6216216216216218,44.736842105263136,755.1288431905884,20.408887653799688,0
2088,2.9750726626807924,0,0,39,0.0,0.0,1.0,39,950.0,12,7,5,341.2789125038025,0.7629712579320642,0.04544662382855824,0.19530403010412029,97011.85680287304,-1178.379802068197,95833.47700080484,2060,5,959.1538461538462,37,2,13,35.90944501719015,0.622771707878091,44.6248600223964,759.7595976756468,20.534043180422884,0
2089,2.821391473788938,0,1,38,0.0,0.02564102564102564,0.9743589743589743,39,1300.0,17,9,8,343.16606494155036,0.7628564045137393,0.04531431750366721,0.19696437161362168,92081.2873497611,-1480.1653930860741,90601.12195667502,2061,6,960.1538461538462,37,2,9,35.745426907456384,0.6239217941345603,44.512877939529666,720.8291878442836,19.481869941737397,0
2090,2.4180845027446995,1,2,37,0.02564102564102564,0.05128205128205128,0.9487179487179487,39,900.0,13,5,8,338.57208846182897,0.7654980331352111,0.062191693183157204,0.19606284818530997,79126.30487514271,-2442.0083412311114,76684.2965339116,2062,0,958.5897435897435,37,2,6,35.51547663951793,0.6273720529039679,44.17693169092944,618.6017969227615,16.71896748439896,0
2091,2.8135158752398457,0,0,37,0.0,0.0,1.0,37,850.0,10,7,3,353.8753653434395,0.7506229633889208,0.054629363282764576,0.20284473859606697,91788.4808332909,-903.6635621599819,90884.81727113092,2063,25,1011.2162162162163,35,2,10,35.52334911930054,0.627355623100304,44.56264775413711,718.6770456729672,20.53362987637049,0
